index,len_payload,fernet_enc,fernet_dec,rsa_enc,rsa_dec
67,173,2.649999805726111e-05,2.1499989088624716e-05,3.6900019040331244e-05,0.0003148999821860343
68,175,3.759999526664615e-05,2.3100001271814108e-05,3.940000897273421e-05,0.0003843999875243753
69,165,3.440000000409782e-05,2.2400025045499206e-05,4.010001430287957e-05,0.00047309999354183674
70,178,5.3499999921768904e-05,3.6600016755983233e-05,6.439999560825527e-05,0.0005154999962542206
71,171,4.7999987145885825e-05,3.440000000409782e-05,5.800000508315861e-05,0.0004175000067334622
72,179,3.360002301633358e-05,2.4599983589723706e-05,4.5199994929134846e-05,0.0003161999920848757
73,181,2.8099981136620045e-05,2.239999594166875e-05,3.819999983534217e-05,0.0003157000173814595
74,173,2.8799986466765404e-05,2.2799998987466097e-05,3.9700011257082224e-05,0.0003252000024076551
75,164,2.9099988751113415e-05,2.220002352260053e-05,3.8300000596791506e-05,0.00031560001662001014
76,177,2.7999980375170708e-05,2.220002352260053e-05,3.689998993650079e-05,0.0003148999821860343
77,173,2.7000001864507794e-05,2.1599989850074053e-05,3.670001751743257e-05,0.0003600000054575503
78,172,3.29999893438071e-05,2.370000584051013e-05,4.020001506432891e-05,0.00032729998929426074
79,175,4.610000178217888e-05,2.570002106949687e-05,4.1399995097890496e-05,0.0003164999943692237
80,173,2.889998722821474e-05,2.1700019715353847e-05,3.789999755099416e-05,0.000315399985993281
81,163,2.720000338740647e-05,2.139998832717538e-05,3.71999922208488e-05,0.00031460000900551677
82,169,2.6699999580159783e-05,2.139998832717538e-05,3.679998917505145e-05,0.0003147000097669661
83,171,2.5999994250014424e-05,2.720000338740647e-05,4.5900000259280205e-05,0.00031549998675473034
84,169,3.4500000765547156e-05,2.1599989850074053e-05,3.789999755099416e-05,0.0003175000019837171
85,173,2.6900001103058457e-05,2.1400017431005836e-05,3.609998384490609e-05,0.00031460000900551677
86,176,2.7000001864507794e-05,2.139998832717538e-05,3.640001523308456e-05,0.00031430000672116876
87,173,3.170000854879618e-05,2.1499989088624716e-05,3.6200013710185885e-05,0.0005176999839022756
88,171,4.260000423528254e-05,2.9300019377842546e-05,4.370001261122525e-05,0.0003218000056222081
89,167,3.0099996365606785e-05,2.3300002794712782e-05,3.890000516548753e-05,0.00032500000088475645
90,164,2.8099981136620045e-05,2.2499996703118086e-05,3.819999983534217e-05,0.00032449999707750976
91,164,3.170000854879618e-05,2.1199986804276705e-05,4.6600005589425564e-05,0.000315099983708933
92,166,2.8300011763349175e-05,2.1599989850074053e-05,3.679998917505145e-05,0.0003252000024076551
93,171,2.8400012524798512e-05,2.1899992134422064e-05,3.689998993650079e-05,0.00031430000672116876
94,177,2.710000262595713e-05,2.1800020476803184e-05,3.709999145939946e-05,0.0003147000097669661
95,171,2.680000034160912e-05,2.1299987565726042e-05,3.659998765215278e-05,0.00032300001475960016
96,175,2.789997961372137e-05,2.1800020476803184e-05,3.739999374374747e-05,0.0007901999924797565
97,173,2.9399991035461426e-05,2.3300002794712782e-05,3.819999983534217e-05,0.0003150000120513141
98,175,2.7900008717551827e-05,2.239999594166875e-05,3.709999145939946e-05,0.00032300001475960016
99,170,2.910001785494387e-05,2.239999594166875e-05,3.749999450519681e-05,0.00031460000900551677
100,174,2.7000001864507794e-05,2.1499989088624716e-05,3.6699988413602114e-05,0.0003144000074826181
101,179,2.750000567175448e-05,2.19999928958714e-05,3.700001980178058e-05,0.00031439997837878764
102,180,2.6599998818710446e-05,2.1500018192455173e-05,3.6900019040331244e-05,0.000314799981424585
103,171,2.6699999580159783e-05,3.070000093430281e-05,3.7600024370476604e-05,0.00031469998066313565
104,172,2.8199981898069382e-05,2.160001895390451e-05,3.7200021324679255e-05,0.00031469998066313565
105,174,2.6699999580159783e-05,2.1700019715353847e-05,3.680001827888191e-05,0.00031450000824406743
106,166,2.61999957729131e-05,2.1599989850074053e-05,3.679998917505145e-05,0.0003144000074826181
107,170,2.6399997295811772e-05,2.120001590810716e-05,3.659998765215278e-05,0.00032270001247525215
